Time,Temperature(°C),Feels like Temperature(°C),Humidity(%),Wind speed(m/s),Wind direction,Rain (mm),Barometric pressure(hPa),Date,time
15:00,,,,,,,,13,13/01/2025 15:00
16:00,3.4,3.4,60,0,ENE,0,1013,13,13/01/2025 16:00
17:00,1.6,1.6,68,0,ENE,0,1013,13,13/01/2025 17:00
18:00,1,1,70,0,ENE,0,1013,13,13/01/2025 18:00
19:00,-0.3,-0.3,74,0,W,0,1012,13,13/01/2025 19:00
20:00,-0.9,-0.9,78,0,ENE,0,1012,13,13/01/2025 20:00
21:00,-1.8,-1.8,82,1,ENE,0,1012,13,13/01/2025 21:00
22:00,-2.5,-2.5,84,0,ENE,0,1012,13,13/01/2025 22:00
23:00,-2.8,-2.8,86,0.8,ENE,0,1012,13,13/01/2025 23:00
00:00,-3.1,-3.1,87,0.8,SSE,0,1011,14,14/01/2025 00:00
01:00,-3.6,-3.6,88,0.7,WSW,0,1011,14,14/01/2025 01:00
02:00,-3,-3,85,0.9,WNW,0,1011,14,14/01/2025 02:00
03:00,-3.6,-3.6,81,1.1,WSW,0,1011,14,14/01/2025 03:00
04:00,-3.6,-3.6,79,1,W,0,1010,14,14/01/2025 04:00
05:00,-3.6,-7,80,2.2,WSW,0,1010,14,14/01/2025 05:00
06:00,-3.6,-3.6,80,0,W,0,1010,14,14/01/2025 06:00
07:00,-3.8,-6,79,1.8,W,0,1010,14,14/01/2025 07:00
08:00,-3.7,-3.7,77,1.1,SSW,0,1009,14,14/01/2025 08:00
09:00,-3.3,-6.7,76,2.8,W,0,1010,14,14/01/2025 09:00
10:00,-2.7,-5.9,73,2,WSW,0,1009,14,14/01/2025 10:00
11:00,-1.9,-1.9,72,1.2,WSW,0,1009,14,14/01/2025 11:00
12:00,-0.3,-3.2,66,2.2,W,0,1009,14,14/01/2025 12:00
13:00,2,-0.5,57,1.9,W,0,1009,14,14/01/2025 13:00
14:00,2.6,2.6,53,0.7,W,0,1007,14,14/01/2025 14:00
15:00,3.5,3.5,51,0.9,WSW,0,1007,14,14/01/2025 15:00
16:00,3.5,3.5,51,0.9,WSW,0,,14,14/01/2025 16:00
17:00,3.6,3.6,54,0.8,W,0,,14,14/01/2025 17:00
18:00,3.8,3.8,56,0.7,WSW,0,,14,14/01/2025 18:00
19:00,3.6,3.6,56,1.2,WSW,0,,14,14/01/2025 19:00
20:00,3.5,1.3,60,2.2,WSW,0,,14,14/01/2025 20:00
21:00,3.4,3.4,64,1,W,0,,14,14/01/2025 21:00
22:00,3.4,2.2,81,1.8,W,0,,14,14/01/2025 22:00
23:00,2.2,-0.3,91,2,WSW,0,,14,14/01/2025 23:00
00:00,2,-0.5,96,2.5,W,0,,15,15/01/2025 00:00
01:00,1.9,-0.6,97,2.5,WSW,0,,15,15/01/2025 01:00
02:00,1.9,1.9,98,1.2,WSW,0,,15,15/01/2025 02:00
03:00,2.1,2.1,98,0.8,SSW,0,,15,15/01/2025 03:00
04:00,2.1,-0.3,98,2.2,WSW,0,,15,15/01/2025 04:00
05:00,2.1,-0.3,98,2.6,W,0,,15,15/01/2025 05:00
06:00,2.2,-0.2,98,2.6,WSW,0,,15,15/01/2025 06:00
07:00,2.2,2.2,99,0,W,0,,15,15/01/2025 07:00
08:00,2.3,2.3,99,0.7,W,0,,15,15/01/2025 08:00
09:00,2.3,2.3,99,1.2,W,0,,15,15/01/2025 09:00
10:00,2.5,0.1,99,2.1,W,0,,15,15/01/2025 10:00
11:00,2.8,2.8,99,1,W,0,,15,15/01/2025 11:00
12:00,3.3,3.3,99,0.9,WSW,0,,15,15/01/2025 12:00
13:00,3.7,1.6,99,2.2,WSW,0,,15,15/01/2025 13:00
14:00,3.9,3.9,99,1,WSW,0,,15,15/01/2025 14:00
15:00,4.2,4.2,99,0.8,WSW,0,,15,15/01/2025 15:00
16:00,4.2,4.2,99,0.8,WSW,0,1007,15,15/01/2025 16:00
17:00,4.2,4.2,99,0.8,WSW,0,1007,15,15/01/2025 17:00
18:00,4.2,4.2,99,0.7,WSW,0,1008,15,15/01/2025 18:00
19:00,4.1,4.1,99,1,WSW,0,1007,15,15/01/2025 19:00
20:00,4.1,4.1,99,0,WSW,0,1008,15,15/01/2025 20:00
21:00,4,4,99,0,WNW,0,1008,15,15/01/2025 21:00
22:00,4,4,99,0,WNW,0,1008,15,15/01/2025 22:00
23:00,3.7,3.7,99,0,ENE,0,1008,15,15/01/2025 23:00
00:00,3.6,3.6,99,0,NE,0,1008,16,16/01/2025 00:00
01:00,3.7,3.7,99,0,WNW,0,1008,16,16/01/2025 01:00
02:00,3.3,3.3,99,0,W,0,1008,16,16/01/2025 02:00
03:00,3.3,3.3,99,0,W,0,1008,16,16/01/2025 03:00
04:00,3.1,3.1,99,1.2,NE,0,1008,16,16/01/2025 04:00
05:00,2.9,2.9,99,0.7,NE,0,1009,16,16/01/2025 05:00
06:00,2.5,2.5,99,0,NNE,0,1009,16,16/01/2025 06:00
07:00,2.4,2.4,99,0,NNW,0,1009,16,16/01/2025 07:00
08:00,2.3,2.3,99,1.1,NE,0,1009,16,16/01/2025 08:00
09:00,2.4,2.4,99,1,E,0,1009,16,16/01/2025 09:00
10:00,2.1,2.1,99,0,N,0,1010,16,16/01/2025 10:00
11:00,2.1,2.1,99,0,N,0,1010,16,16/01/2025 11:00
12:00,2.4,2.4,99,0,WNW,0,1010,16,16/01/2025 12:00
13:00,2.2,2.2,99,0.7,ESE,0,1010,16,16/01/2025 13:00
14:00,2.6,2.6,98,0.9,NE,0,1009,16,16/01/2025 14:00
15:00,2.8,2.8,96,0.8,NE,0,1009,16,16/01/2025 15:00
16:00,0.7,,98,0.9,ENE,0,,16,16/01/2025 16:00
17:00,1.1,,98,1.8,ENE,0,,16,16/01/2025 17:00
18:00,1.5,,99,0,NE,0,,16,16/01/2025 18:00
19:00,0.7,,99,0,ENE,0,,16,16/01/2025 19:00
20:00,0.6,,99,0,ENE,0,,16,16/01/2025 20:00
21:00,0.2,,99,0,ENE,0,,16,16/01/2025 21:00
22:00,-0.3,,99,0,WNW,0,,16,16/01/2025 22:00
23:00,0,,99,0,WNW,0,,16,16/01/2025 23:00
00:00,-0.2,,99,0,WNW,0,,17,17/01/2025 00:00
01:00,-1.2,,99,1.7,ENE,0,,17,17/01/2025 01:00
02:00,-2.1,,99,0.7,ENE,0,,17,17/01/2025 02:00
03:00,-2.1,,99,0,WSW,0,,17,17/01/2025 03:00
04:00,-2.2,,99,0,WNW,0,,17,17/01/2025 04:00
05:00,-2.3,,99,0,NW,0,,17,17/01/2025 05:00
06:00,-1.7,,99,0,NW,0,,17,17/01/2025 06:00
07:00,-2.2,,99,0,E,0,,17,17/01/2025 07:00
08:00,-2.7,,99,0,ESE,0,,17,17/01/2025 08:00
09:00,-2.1,,99,0,ENE,0,,17,17/01/2025 09:00
10:00,-2.1,,99,0,WNE,0,,17,17/01/2025 10:00
11:00,-1.8,,99,0.8,NE,0,,17,17/01/2025 11:00
12:00,-1.4,,99,0.8,NE,0,,17,17/01/2025 12:00
13:00,-1,,99,0.8,ENE,0,,17,17/01/2025 13:00
14:00,-0.8,,99,0.8,NW,0,,17,17/01/2025 14:00
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
