time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
13/01/2025 15:00,2,-2.3,73,0,,34,4,11.1,1040.9,,1
13/01/2025 16:00,-0.4,-2.9,83,0,,22,11,11,1041.1,,1
13/01/2025 17:00,-1.4,-3.7,84,0,,100,11,11,1040.5,,1
13/01/2025 18:00,-1.5,-3.8,84,0,80,124,7,11.1,1039.8,,1
13/01/2025 19:00,-3,-4.1,92,0,,102,4,14,1039.6,,1
13/01/2025 20:00,-4.2,-4.5,98,0,,102,7,7,1039.6,,4
13/01/2025 21:00,-4.1,-4.5,97,0,,95,7,11.1,1039.4,,4
13/01/2025 22:00,-4.8,-5.1,98,0,,153,7,11,1039.2,,4
13/01/2025 23:00,-5.3,-5.8,96,0,,173,4,7,1039,,4
14/01/2025 00:00,-4.3,-4.8,96,0,,190,7,9.3,1039,,4
14/01/2025 01:00,-4.1,-5.3,91,0,,170,11,15,1038.3,,4
14/01/2025 02:00,-3.8,-5.6,87,0,,177,14,14,1037.8,,4
14/01/2025 03:00,-4.5,-6.8,84,0,,191,11,13,1037.6,,4
14/01/2025 04:00,-4.8,-6.8,86,0,,194,11,18,1037.4,,4
14/01/2025 05:00,-5.4,-7.4,86,0,,196,14,14,1037.3,,2
14/01/2025 06:00,-4.9,-7.3,83,0,70,194,11,16.7,1037.3,,1
14/01/2025 07:00,-4,-7.3,78,0,,190,18,22,1036.9,,4
14/01/2025 08:00,-3.8,-6.7,80,0,,198,14,22,1037.4,,4
14/01/2025 09:00,-2.9,-6.4,77,0,,190,14,18.5,1036.8,,4
14/01/2025 10:00,-2.8,-5.8,80,0,,198,11,22,1036.9,,4
14/01/2025 11:00,-0.2,-4.3,74,0,,202,14,18,1036.4,,4
14/01/2025 12:00,1.5,-4.5,64,0,,230,14,18.5,1036.2,,4
14/01/2025 13:00,1.9,-3.6,67,0,,222,14,25,1034.9,,3
14/01/2025 14:00,2.3,-3.2,67,0,,214,18,22,1034.5,,4
14/01/2025 15:00,2.9,-3.6,62,0,,221,18,16.7,1034.2,,4
14/01/2025 16:00,3,-3.1,64,0,,251,11,25,1035,,4
14/01/2025 17:00,2.9,-2.8,66,0,,220,14,18,1035,,4
14/01/2025 18:00,2.6,-1.5,74,0,,206,14,22.2,1035.1,,4
14/01/2025 19:00,3.4,-0.1,78,0,,229,14,22,1034.5,,7
14/01/2025 20:00,3,1.4,89,0,,227,14,25,1034,,8
14/01/2025 21:00,2.1,2.1,100,0.1,,220,14,24.1,1034.3,,7
14/01/2025 22:00,1.8,1.8,100,0.1,,220,14,22,1034.2,,8
14/01/2025 23:00,1.9,1.8,99,0,,219,11,18,1034.3,,5
15/01/2025 00:00,2,2,100,0,,221,11,20.4,1034,,5
15/01/2025 01:00,1.9,1.8,99,0.2,,206,14,18,1033.4,,5
15/01/2025 02:00,1.8,1.7,99,0.1,,201,14,18,1033.6,,5
15/01/2025 03:00,1.8,1.8,100,0.1,,205,11,16.7,1033.5,,5
15/01/2025 04:00,1.9,1.8,99,0,,209,11,18,1033,,5
15/01/2025 05:00,1.9,1.8,99,0,,208,14,22,1033.2,,5
15/01/2025 06:00,2,1.9,99,0.1,,199,14,13,1033.4,,5
15/01/2025 07:00,2,1.9,99,0,,195,7,14,1033.7,,5
15/01/2025 08:00,2.1,2,99,0,,198,14,18,1033.9,,5
15/01/2025 09:00,2.3,2.3,100,0,,193,14,11.1,1034.6,,5
15/01/2025 10:00,2.4,2.4,100,0,,201,11,18,1034.9,,5
15/01/2025 11:00,3.1,3.1,100,0,,216,7,14,1034.9,,5
15/01/2025 12:00,3.5,3.4,99,0,,212,7,13,1034.4,,5
15/01/2025 13:00,3.8,3.8,100,0,,218,4,11,1034.2,,5
15/01/2025 14:00,3.8,3.8,100,0,,197,7,11,1034.2,,5
15/01/2025 15:00,4,3.9,99,0,,237,4,9.3,1034.2,,5
15/01/2025 16:00,4,3.9,99,0,,253,4,7,1034.7,,5
15/01/2025 17:00,3.6,3.6,100,0,,0,0,4,1035,,5
15/01/2025 18:00,3,2.9,99,0,,0,0,7.4,1035.1,,5
15/01/2025 19:00,3,2.9,99,0,,116,4,7,1035.5,,5
15/01/2025 20:00,3,3,100,0,,0,0,4,1035.5,,5
15/01/2025 21:00,3.4,3.3,99,0,,0,0,9.3,1035.7,,5
15/01/2025 22:00,3.4,3.4,100,0,,39,4,7,1035.8,,5
15/01/2025 23:00,3.2,3.1,99,0,,95,4,7,1035.8,,5
16/01/2025 00:00,3.1,3.1,100,0,,116,4,7.4,1035.4,,5
16/01/2025 01:00,2.7,2.7,100,0,,37,7,7,1035.3,,5
16/01/2025 02:00,2.9,2.8,99,0,,89,4,7,1035.5,,5
16/01/2025 03:00,2.5,2.4,99,0,,56,7,7.4,1035.9,,5
16/01/2025 04:00,2.2,2.1,99,0,,62,7,11,1036,,5
16/01/2025 05:00,2.2,2.1,99,0,,90,7,11,1036.1,,5
16/01/2025 06:00,2,2,100,0,,91,7,11.1,1036.2,,5
16/01/2025 07:00,2.2,2.2,100,0,,91,7,18,1036.5,,5
16/01/2025 08:00,2.2,2.1,99,0,,102,7,14,1036.9,,4
16/01/2025 09:00,1.9,1.8,99,0,,103,7,13,1037.1,,5
16/01/2025 10:00,1.6,1.5,99,0,,70,4,14,1037.5,,5
16/01/2025 11:00,1.6,1.6,100,0,,129,7,11,1037.3,,5
16/01/2025 12:00,2.1,2,99,0,,104,4,13,1037.1,,5
16/01/2025 13:00,2.1,2.1,100,0,,95,11,14,1036.6,,5
16/01/2025 14:00,2.1,2,99,0,,165,4,14,1036.4,,4
16/01/2025 15:00,2.4,2.3,99,0,,149,4,13,1036.4,,4
16/01/2025 16:00,1.7,1.6,99,0,,117,4,7,1036.5,,5
16/01/2025 17:00,0.5,0.4,99,0,,0,0,7,1036.7,,5
16/01/2025 18:00,0.1,0.1,100,0,,303,4,7.4,1037.1,,5
16/01/2025 19:00,0.1,0,99,0,,0,0,4,1037.4,,5
16/01/2025 20:00,-0.7,-0.8,99,0,,194,4,7,1037.4,,5
16/01/2025 21:00,-0.5,-0.6,99,0,,236,4,9.3,1037.7,,5
16/01/2025 22:00,-0.3,-0.4,99,0,,268,4,7,1038,,5
16/01/2025 23:00,-0.2,-0.2,100,0,,212,4,7,1038.2,,5
17/01/2025 00:00,-0.4,-0.5,99,0,,186,4,7.4,1037.8,,5
17/01/2025 01:00,-0.6,-0.7,99,0,,230,4,8,1037.7,,5
17/01/2025 02:00,-1.5,-1.6,99,0,,190,4,7,1037.3,,5
17/01/2025 03:00,-2,-2.1,99,0,,0,0,5.5,1037,,5
