time,temperature_2m,relative_humidity_2m (%),apparent_temperature,precipitation (mm),rain (mm),pressure_msl (hPa),surface_pressure (hPa),wind_speed_10m (km/h),wind_direction_10m,,,latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
2025-01-13T15:00,-0.9,88,-4.2,0,0,1041.1,1034.6,5.5,81,,,,,,,,
2025-01-13T16:00,-3,88,-6.5,0,0,1041,1034.4,5.2,78,,,,,,,,
2025-01-13T17:00,-5.4,93,-9,0,0,1040.9,1034.3,5,60,,,,,,,,
2025-01-13T18:00,-6.6,95,-10.5,0,0,1040.5,1033.9,5.6,97,,,,,,,,
2025-01-13T19:00,-5,89,-9.4,0,0,1039.9,1033.3,10,146,,,,,,,,
2025-01-13T20:00,-6.3,86,-10.4,0,0,1039.7,1033.1,6.8,163,,,,,,,,
2025-01-13T21:00,-7.9,88,-11.5,0,0,1039.8,1033.1,2.5,184,,,,,,,,
2025-01-13T22:00,-7.9,86,-12.7,0,0,1039.6,1032.9,10.7,168,,,,,,,,
2025-01-13T23:00,-8.1,85,-12.9,0,0,1039.6,1032.9,10.5,172,,,,,,,,
2025-01-14T00:00,-8.3,82,-13,0,0,1039.6,1032.9,9,180,,,,,,,,
2025-01-14T01:00,-8.9,82,-13.5,0,0,1039.1,1032.4,9,190,,,,,,,,
2025-01-14T02:00,-6.4,86,-10.9,0,0,1038.6,1032,9.3,189,,,,,,,,
2025-01-14T03:00,-6.4,83,-11.1,0,0,1038.1,1031.5,10.8,183,,,,,,,,
2025-01-14T04:00,-6.3,82,-10.8,0,0,1037.7,1031.1,9.4,188,,,,,,,,
2025-01-14T05:00,-7,81,-11.5,0,0,1037.5,1030.9,8.5,197,,,,,,,,
2025-01-14T06:00,-7.3,80,-11.7,0,0,1037.1,1030.5,7.8,202,,,,,,,,
2025-01-14T07:00,-7.5,81,-12,0,0,1037.4,1030.8,8.1,205,,,,,,,,
2025-01-14T08:00,-7.5,81,-12.1,0,0,1037.2,1030.6,9.1,195,,,,,,,,
2025-01-14T09:00,-7.3,80,-12,0,0,1037.1,1030.5,9.8,203,,,,,,,,
2025-01-14T10:00,-5.6,78,-10.4,0,0,1036.8,1030.2,11.3,200,,,,,,,,
2025-01-14T11:00,-3.5,75,-8.2,0,0,1036.6,1030.1,11.2,206,,,,,,,,
2025-01-14T12:00,-1.6,73,-6.1,0,0,1036.3,1029.8,11.1,211,,,,,,,,
2025-01-14T13:00,-0.2,76,-4,0,0,1036.2,1029.7,8,242,,,,,,,,
2025-01-14T14:00,0.9,77,-3.1,0,0,1035.4,1029,10,213,,,,,,,,
2025-01-14T15:00,1.4,74,-2.8,0,0,1034.8,1028.4,11.6,221,,,,,,,,
2025-01-14T16:00,1.1,74,-3,0,0,1034.5,1028.1,10.8,224,,,,,,,,
2025-01-14T17:00,0.4,76,-3.7,0,0,1034.6,1028.2,10.3,224,,,,,,,,
2025-01-14T18:00,1.3,77,-2.4,0,0,1035.2,1028.8,8.2,234,,,,,,,,
2025-01-14T19:00,1.5,78,-2.5,0,0,1035.1,1028.7,10.5,215,,,,,,,,
2025-01-14T20:00,1.3,80,-2.9,0,0,1034.5,1028.1,12.3,215,,,,,,,,
2025-01-14T21:00,1.5,83,-2.5,0.1,0.1,1034.1,1027.7,11.8,226,,,,,,,,
2025-01-14T22:00,1.6,87,-2.1,0,0,1034.1,1027.7,9.9,224,,,,,,,,
2025-01-14T23:00,1.6,89,-2,0,0,1034,1027.6,10.1,223,,,,,,,,
2025-01-15T00:00,1.6,91,-1.8,0.1,0.1,1034.1,1027.7,9.3,224,,,,,,,,
2025-01-15T01:00,1.7,93,-1.7,0,0,1033.8,1027.4,9.3,220,,,,,,,,
2025-01-15T02:00,1.3,97,-2,0,0,1034,1027.6,9.4,222,,,,,,,,
2025-01-15T03:00,1.4,98,-1.8,0,0,1033.8,1027.4,8.5,222,,,,,,,,
2025-01-15T04:00,1.4,98,-1.7,0.1,0.1,1033.7,1027.3,7.5,222,,,,,,,,
2025-01-15T05:00,1.3,99,-1.9,0.1,0.1,1033.2,1026.8,8.5,222,,,,,,,,
2025-01-15T06:00,1.3,99,-1.6,0.1,0.1,1033.3,1026.9,6.5,214,,,,,,,,
2025-01-15T07:00,1.3,100,-1.4,0.2,0.2,1033.3,1026.9,5.4,217,,,,,,,,
2025-01-15T08:00,1.3,100,-1.6,0,0,1033.6,1027.2,6.8,197,,,,,,,,
2025-01-15T09:00,1.4,99,-1.3,0.1,0.1,1034,1027.6,4.8,193,,,,,,,,
2025-01-15T10:00,1.5,99,-1,0.2,0.2,1034.5,1028.1,4,172,,,,,,,,
2025-01-15T11:00,1.9,98,-0.7,0.1,0.1,1034.7,1028.3,5.4,182,,,,,,,,
2025-01-15T12:00,1.9,98,-0.6,0,0,1034.5,1028.1,4.4,199,,,,,,,,
2025-01-15T13:00,2.1,99,-0.4,0,0,1034.1,1027.7,4.9,242,,,,,,,,
2025-01-15T14:00,2.1,100,-0.1,0,0,1034.3,1027.9,3.2,183,,,,,,,,
2025-01-15T15:00,2.1,100,-0.2,0,0,1034.1,1027.7,3.6,207,,,,,,,,
2025-01-15T16:00,2,100,-0.2,0,0,1034.4,1028,2.7,217,,,,,,,,
2025-01-15T17:00,1.8,100,-0.5,0,0,1034.6,1028.2,3.1,204,,,,,,,,
2025-01-15T18:00,1.7,100,-0.6,0,0,1034.9,1028.5,3.1,190,,,,,,,,
2025-01-15T19:00,1.7,100,-0.7,0,0,1035,1028.6,3.4,180,,,,,,,,
2025-01-15T20:00,1.6,99,-1.1,0,0,1035.4,1029,5.9,166,,,,,,,,
2025-01-15T21:00,1.7,99,-0.9,0,0,1035.3,1028.9,4.8,167,,,,,,,,
2025-01-15T22:00,1.7,99,-0.7,0,0,1035.6,1029.2,3.1,167,,,,,,,,
2025-01-15T23:00,1.8,99,-0.4,0,0,1035.7,1029.3,2.4,171,,,,,,,,
2025-01-16T00:00,1.8,98,-0.6,0,0,1035.4,1029,3.5,168,,,,,,,,
