name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"Paul-Henri Spaaklaan 1, 6229 EN Maastricht",2025-01-13T15:00:00,2.1,2.1,-2.9,69.47,0,0,,0,3.4,11.5,4.8,327,1040.3,0,16.8,142,0.5,1,,Clear,clear-day,"06478099999,06477099999,E5682,15000,06377099999,06479099999,06380099999"
"Paul-Henri Spaaklaan 1, 6229 EN Maastricht",2025-01-13T16:00:00,0.7,-1.1,-3.4,74.08,0,0,,0,3.4,3.2,5.9,52,1040.2,0,10,22,0.1,0,,Clear,clear-day,"05064,E5682,03591,15000,02497,EHBK,01327"
"Paul-Henri Spaaklaan 1, 6229 EN Maastricht",2025-01-13T17:00:00,-1.4,-4.8,-4.3,80.52,0,0,,0,3.4,1.8,9.6,31,1039.3,0,13.9,0,0,0,,Clear,clear-night,"05064,E5682,03591,15000,02497,EHBK,01327"
"Paul-Henri Spaaklaan 1, 6229 EN Maastricht",2025-01-13T18:00:00,-2.4,-5.9,-4.4,86.12,0,0,,0,3.4,7.6,9.1,95,1039.4,0,12.9,0,0,0,,Clear,clear-night,"05064,E5682,03591,15000,02497,EHBK,01327"
"Paul-Henri Spaaklaan 1, 6229 EN Maastricht",2025-01-13T19:00:00,-2.7,-6.9,-4.6,86.78,0,0,,0,5.4,7.6,11.5,133,1038.5,0,11.5,0,0,0,,Clear,clear-night,"05064,E5682,03591,15000,02497,EHBK,01327"
"Paul-Henri Spaaklaan 1, 6229 EN Maastricht",2025-01-13T20:00:00,-3.2,-3.2,-4.3,92.29,0,0,,0,5.4,7.6,2.6,82,1038.3,0,13.2,0,0,0,,Clear,clear-night,"05064,E5682,03591,15000,02497,EHBK,01327"
"Paul-Henri Spaaklaan 1, 6229 EN Maastricht",2025-01-13T21:00:00,-4.8,-7,-5.1,97.75,0,0,,0,5.4,6.5,5,71,1038.3,39,12.7,0,0,0,,Partially cloudy,partly-cloudy-night,"05064,E5682,03591,15000,02497,EHBK,01327"
"Paul-Henri Spaaklaan 1, 6229 EN Maastricht",2025-01-13T22:00:00,-4.4,-7.7,-5.4,92.11,0,0,,0,5.4,6.1,7.7,122,1038.4,37.2,9.5,0,0,0,,Partially cloudy,partly-cloudy-night,"05064,E5682,03591,15000,02497,EHBK,01327"
"Paul-Henri Spaaklaan 1, 6229 EN Maastricht",2025-01-13T23:00:00,-5.7,-10.2,-6,98.05,0,0,,0,5.4,7.2,10.4,143,1038.3,38.7,13.6,0,0,0,,Partially cloudy,partly-cloudy-night,"05064,E5682,03591,15000,02497,EHBK,01327"
"Paul-Henri Spaaklaan 1, 6229 EN Maastricht",2025-01-14T00:00:00,-4.9,-8.9,-6.2,90.76,0,0,,0,5.4,7.2,9,178,1037.4,56,15.6,0,0,0,,Partially cloudy,partly-cloudy-night,"05064,E5682,03591,15000,02497,EHBK,01327"
"Paul-Henri Spaaklaan 1, 6229 EN Maastricht",2025-01-14T01:00:00,-5.1,-9,-5.6,96.05,0,0,,0,0,8.6,8.8,222,1038.3,10.6,10,0,0,0,,Clear,clear-night,"05064,E5682,03591,15000,02497,EHBK,01327"
"Paul-Henri Spaaklaan 1, 6229 EN Maastricht",2025-01-14T02:00:00,-4.8,-9,-6.4,88.29,0,0,,0,0,9,10.1,190,1037.3,0.6,10,0,0,0,,Clear,clear-night,"05064,E5682,03591,15000,02497,EHBK,01327"
"Paul-Henri Spaaklaan 1, 6229 EN Maastricht",2025-01-14T03:00:00,-4.2,-9.2,-6.5,83.92,0,0,,0,0,9,13.4,189,1037.3,9.2,10,0,0,0,,Clear,clear-night,"05064,E5682,03591,15000,02497,EHBK,01327"
"Paul-Henri Spaaklaan 1, 6229 EN Maastricht",2025-01-14T04:00:00,-4.8,-9,-7.2,83.25,0,0,,0,0,9.4,9.9,197,1036.4,71.5,10,0,0,0,,Partially cloudy,partly-cloudy-night,"05064,E5682,03591,15000,02497,EHBK,01327"
"Paul-Henri Spaaklaan 1, 6229 EN Maastricht",2025-01-14T05:00:00,-5,-9.3,-7.2,84.4,0,0,,0,0,9.7,10.1,197,1036.3,78,10,0,0,0,,Partially cloudy,partly-cloudy-night,"05064,E5682,03591,15000,02497,EHBK,01327"
"Paul-Henri Spaaklaan 1, 6229 EN Maastricht",2025-01-14T06:00:00,-5.6,-10.4,-8.4,80.39,0,0,,0,0,9.7,11.3,214,1036.3,0,10,0,0,0,,Clear,clear-night,"05064,E5682,03591,15000,02497,EHBK,01327"
"Paul-Henri Spaaklaan 1, 6229 EN Maastricht",2025-01-14T07:00:00,-5.9,-11,-8.5,81.34,0,0,,0,0,8.6,12.4,205,1036.3,8.1,10,0,0,0,,Clear,clear-night,"05064,C6175,03591,15000,02497,EHBK,01327"
"Paul-Henri Spaaklaan 1, 6229 EN Maastricht",2025-01-14T08:00:00,-4.5,-9.8,-8.4,74.26,0,0,,0,0,9.4,14.3,201,1035.3,0,10,0,0,0,,Clear,clear-night,"05064,C6175,03591,15000,02497,EHBK,01327"
"Paul-Henri Spaaklaan 1, 6229 EN Maastricht",2025-01-14T09:00:00,-4.7,-10.4,-7.6,79.84,0,0,,0,0,9.7,16.2,214,1036.2,90,10,29,0.1,0,,Partially cloudy,partly-cloudy-day,"05064,E5682,03591,15000,02497,EHBK,01327"
"Paul-Henri Spaaklaan 1, 6229 EN Maastricht",2025-01-14T10:00:00,-3.7,-8.8,-7.3,75.96,0,0,,0,0,9.7,14.2,204,1036.2,89.3,10,62,0.2,1,,Partially cloudy,partly-cloudy-day,"05064,E5682,03591,15000,02497,EHBK,01327"
"Paul-Henri Spaaklaan 1, 6229 EN Maastricht",2025-01-14T11:00:00,-2.8,-8.1,-7.1,71.94,0,0,,0,0,10.8,16.3,205,1035.3,96.3,10,91,0.3,1,,Overcast,cloudy,"05064,E5682,03591,15000,02497,EHBK,01327"
"Paul-Henri Spaaklaan 1, 6229 EN Maastricht",2025-01-14T12:00:00,-1,-5.9,-5.6,71.09,0,0,,0,0,11.2,16.4,212,1035.3,99.6,10,252,0.9,3,,Overcast,cloudy,"05064,E5682,03591,15000,02497,EHBK,01327"
"Paul-Henri Spaaklaan 1, 6229 EN Maastricht",2025-01-14T13:00:00,1,-3,-5.4,62.31,0,0,,0,0,9.7,13.9,235,1035.2,28.4,10,161,0.6,2,,Partially cloudy,partly-cloudy-day,"05064,E5682,03591,15000,02497,EHBK,01327"
"Paul-Henri Spaaklaan 1, 6229 EN Maastricht",2025-01-14T14:00:00,1.1,-3.3,-5.3,62.58,0,0,,0,0,13.7,16,230,1034.2,23.5,10,117,0.4,1,,Partially cloudy,partly-cloudy-day,"05064,E5682,03591,15000,02497,EHBK,01327"
"Paul-Henri Spaaklaan 1, 6229 EN Maastricht",2025-01-14T15:00:00,1.9,-2.2,-4.3,63.17,0,0,,0,0,14.4,15.9,223,1033.3,78.4,10,100,0.4,1,,Partially cloudy,partly-cloudy-day,"05064,E5682,03591,15000,02497,EHBK,01327"
"Paul-Henri Spaaklaan 1, 6229 EN Maastricht",2025-01-14T16:00:00,1.9,-2.7,-3.4,67.81,0,0,,0,0,11.9,19.3,222,1033.2,66.2,10,22,0.1,0,,Partially cloudy,partly-cloudy-day,"05064,E5682,03591,15000,02497,EHBK,01327"
"Paul-Henri Spaaklaan 1, 6229 EN Maastricht",2025-01-14T17:00:00,2.7,-0.6,-4.1,60.83,0,0,,0,0,13.3,12.5,246,1033.3,100,10,0,0,0,,Overcast,cloudy,"05064,E5682,03591,15000,02497,EHBK,01327"
"Paul-Henri Spaaklaan 1, 6229 EN Maastricht",2025-01-14T18:00:00,2,-1.7,-3.3,68.09,0,0,,0,0,11.2,13.3,223,1034.2,100,10,0,0,0,,Overcast,cloudy,"05064,E5682,03591,15000,02497,EHBK,01327"
"Paul-Henri Spaaklaan 1, 6229 EN Maastricht",2025-01-14T19:00:00,2,-2,-2.3,73.23,0,0,,0,0,14.8,15.5,214,1034.2,100,10,0,0,0,,Overcast,cloudy,"05064,E5682,03591,15000,02497,EHBK,01327"
"Paul-Henri Spaaklaan 1, 6229 EN Maastricht",2025-01-14T20:00:00,2.8,-1.3,-1.2,75.04,0,0,,0,0,14.4,16.7,222,1033.3,100,14.6,0,0,0,,Overcast,cloudy,"05064,E5682,03591,15000,02497,EHBK,01327"
"Paul-Henri Spaaklaan 1, 6229 EN Maastricht",2025-01-14T21:00:00,2,-2.7,0.6,90.26,0,0,,0,0,12.2,20.3,230,1033.1,88,11.5,0,0,0,,Partially cloudy,partly-cloudy-night,"05064,E5682,03591,15000,02497,EHBK,01327"
"Paul-Henri Spaaklaan 1, 6229 EN Maastricht",2025-01-14T22:00:00,2,-2,1.4,95.94,0,0,,0,0,13.7,15.7,229,1033.2,100,5.7,0,0,0,,Overcast,cloudy,"05064,E5682,03591,15000,02497,EHBK,01327"
"Paul-Henri Spaaklaan 1, 6229 EN Maastricht",2025-01-14T23:00:00,1,-3.5,0.9,99.03,0,0,,0,0,13,17,223,1033.2,100,2,0,0,0,,Overcast,cloudy,"05064,E5682,03591,15000,02497,EHBK,01327"
