Temperature (C),tempF,windspeedMiles,Wind Speed (km/h),winddirDegree,winddir16Point,weatherCode,weatherIconUrl,weatherDesc,Precipitation (mm),precipInches,Humidity (%),visibility,visibilityMiles,Pressure (hPa),pressureInches,Cloud Cover (%),HeatIndexC,HeatIndexF,DewPointC,DewPointF,WindChillC,WindChillF,WindGustMiles,WindGustKmph,FeelsLikeC,FeelsLikeF,uvIndex,Timestamp
1,34,2,4,19,NNE,113,[{'value': 'https://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0001_sunny.png'}],[{'value': 'Sunny'}],0,0,76,10,6,1039,31,0,1,34,-2,29,0,33,4,6,0,33,2,13/01/2025 15:00
0,31,2,4,20,NNE,113,[{'value': 'https://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0001_sunny.png'}],[{'value': 'Sunny'}],0,0,85,10,6,1039,31,0,0,31,-2,29,-1,30,5,7,-1,30,2,13/01/2025 16:00
-2,29,2,4,27,NNE,113,[{'value': 'https://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0001_sunny.png'}],[{'value': 'Sunny'}],0,0,91,10,6,1039,31,0,-2,29,-3,26,-3,27,5,8,-3,27,2,13/01/2025 17:00
-2,28,2,4,109,ESE,113,[{'value': 'https://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0008_clear_sky_night.png'}],[{'value': 'Clear'}],0,0,92,10,6,1040,31,0,-2,28,-4,25,-4,25,5,8,-4,25,1,13/01/2025 18:00
-3,27,3,5,140,SE,113,[{'value': 'https://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0008_clear_sky_night.png'}],[{'value': 'Clear'}],0,0,91,10,6,1039,31,0,-3,27,-4,25,-4,24,7,11,-4,24,1,13/01/2025 19:00
-3,27,3,5,158,SSE,113,[{'value': 'https://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0008_clear_sky_night.png'}],[{'value': 'Clear'}],0,0,90,10,6,1039,31,0,-3,27,-4,24,-5,23,6,10,-5,23,1,13/01/2025 20:00
-3,26,3,5,158,SSE,113,[{'value': 'https://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0008_clear_sky_night.png'}],[{'value': 'Clear'}],0,0,89,10,6,1039,31,0,-3,26,-5,23,-5,23,7,11,-5,23,1,13/01/2025 21:00
-3,26,4,6,155,SSE,113,[{'value': 'https://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0008_clear_sky_night.png'}],[{'value': 'Clear'}],0,0,86,10,6,1039,31,0,-3,26,-5,23,-5,22,8,12,-5,22,1,13/01/2025 22:00
-3,26,3,5,155,SSE,113,[{'value': 'https://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0008_clear_sky_night.png'}],[{'value': 'Clear'}],0,0,85,10,6,1039,31,0,-3,26,-6,22,-5,22,6,10,-5,22,1,13/01/2025 23:00
-5,23,4,6,165,SSE,113,[{'value': 'https://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0008_clear_sky_night.png'}],[{'value': 'Clear'}],0,0,87,10,6,1039,31,4,-5,23,-7,20,-8,18,8,14,-8,18,1,14/01/2025 00:00
-5,23,3,4,186,S,113,[{'value': 'https://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0008_clear_sky_night.png'}],[{'value': 'Clear'}],0,0,89,10,6,1039,31,2,-5,23,-7,19,-8,17,6,9,-8,17,1,14/01/2025 01:00
-5,23,4,6,172,S,113,[{'value': 'https://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0008_clear_sky_night.png'}],[{'value': 'Clear'}],0,0,87,10,6,1039,31,0,-5,23,-7,19,-9,17,8,14,-9,17,1,14/01/2025 02:00
